Id,Solution,Clue1,Clue2,Clue3,Clue1_BA,Clue2_BA,Clue3_BA
61,Formula,Baby,One,Chemical,B,A,B
62,Sand,Bag,Storm,Quick,A,A,B
63,Base,Camp,Line,Data,A,A,B
64,Night,Time,Club,Mid,A,A,B
65,Pole,South,Flag,Star,B,B,A
66,Pink,Baby,Eye,Lady,B,A,A
67,Ball,Base,Eight,Park,B,B,A
68,Life,Time,After,Insurance,A,B,A
69,Wheel,Fly,House,Cart,B,A,B
70,Track,Record,On,Sound,A,B,B
71,Para,Graph,Site,Glide,A,A,A
72,Hedge,Row,Fund,Hog,A,A,A
73,Oven,Glove,Gas,Ready,A,B,A
74,Stop,Full,Sign,Bus,B,A,B
75,Head,Clear,Master,Hammer,B,A,B
76,Resistance,Air,Training,French,B,A,B
77,Honey,Dew,Badger,Bee,A,A,A
78,Straw,Berry,Hat,Final,A,A,B
79,Mouse,Mat,Trap,Pad,A,A,A
80,Cell,Wall,Phone,Stem,A,A,B
81,Chuck,Wood,Steak,Norris,B,A,A
82,Death,Wish,Black,Sudden,A,B,B
83,Word,Play,Search,Microsoft,A,A,B
84,Collar,Blue,Bone,Dog,B,A,B
85,Hour,Happy,Glass,Rush,B,A,B
86,Tail,Wind,Gate,Pony,A,A,B
87,Tide,High,Low,Rip,B,B,B
88,Ant,Nest,Army,Eater,A,B,A
89,Car,Boot,Crash,Wash,A,A,A
90,Pie,Chart,American,Apple,A,B,B
91,Free,Hand,Hold,Sugar,A,A,B
92,Bike,Dirt,Rack,Motor,B,A,B
93,Iron,Lady,Man,Lung,A,A,A
94,Lift,Chair,Off,Weight,B,A,B
95,Bee,Queen,Honey,Hive,B,B,A
96,Player,Team,Record,Multi,B,B,B
97,Coast,Line,Gold,Guard,A,B,A
98,Clock,Wise,Work,Alarm,A,A,B
99,Branch,Tree,Line,Olive,B,A,B
100,Hyper,Link,Active,Sensitive,A,A,A
101,Piece,Master,Set,Mouth,B,B,B
102,Aqua,Marine,Plane,Blue,A,A,A
103,Chain,Mail,Saw,Daisy,A,A,B
104,Tap,Wire,Dance,Water,B,A,A
105,Noise,White,Background,Pollution,B,B,A
106,High,Jump,School,Chair,A,A,A
107,Speed,Boat,Top,Limit,A,B,A
108,Every,Body,Thing,Where,A,A,A
109,Price,Tag,Less,Asking,A,A,B
110,Pilot,Auto,Licence,Episode,B,A,A
111,List,Price,Check,Hit,A,B,B
112,Pit,Stop,Bull,Snake,A,A,B
113,Comfort,Break,Food,Blanket,A,A,A
114,Air,Flow,Craft,Fry,A,A,A
115,Point,Pin,Ball,Decimal,B,B,B
116,Ice,Dry,Pack,Rink,B,A,A
117,Tea,Bag,Cup,Cream,A,A,B
118,Pop,Corn,Tart,Idol,A,A,A
119,Science,Teacher,Fiction,Rocket,A,A,B
120,Tie,Black,Clip,Bow,B,A,B
121,Natural,Super,History,Selection,B,A,A
122,Stamp,Time,Duty,Postage,B,A,B
123,Tax,Date,Income,Haven,A,B,A
124,Alley,Way,Cat,Bowling,A,A,B
125,Arch,Wheel,Bishop,Way,B,A,A
126,Spirit,Free,White,Measure,B,B,A
127,Tight,Sleep,Rope,Hold,B,A,B
128,Inner,Circle,Peace,Ear,A,A,A
129,Metal,Heavy,Gun,Worker,B,B,A
130,Step,Side,Up,Door,B,A,B
131,Arctic,Circle,Ocean,Monkeys,A,A,A
132,Blood,Orange,Type,Pressure,A,A,A
133,Order,Tall,In,Court,B,B,B
134,Mental,Note,Health,Image,A,A,A
135,Race,Drag,Horse,Track,B,A,A
136,Cover,Under,Up,Letter,B,A,A
137,Cheese,Big,Say,Cream,B,B,B
138,Area,Play,Grey,Penalty,B,B,B
139,Knife,Pen,Edge,Jack,B,A,B
140,Nature,Human,Second,Mother,B,B,B
141,Reason,See,Within,Able,B,B,A
142,Gold,Solid,Rush,Finger,B,A,A
143,Nuclear,Plant,Science,Power,A,A,A
144,North,Star,True,America,A,B,A
145,Angle,Right,Tri,Wide,B,B,B
146,Rice,Brown,Paper,Pudding,B,A,A
147,Learner,Slow,Visual,Driver,B,B,A
148,Cake,Stand,Walk,Cup,A,A,B
149,Stereo,System,Type,Sound,A,A,A
150,Trust,National,Fund,Worthy,B,A,A
151,Age,Dark,Old,Golden,B,B,B
152,Speech,Free,Bubble,Acceptance,B,A,B
153,Scrap,Book,Metal,Yard,A,A,A
154,Lesson,Life,Piano,Driving,B,B,B
155,Lighter,High,Fire,Fluid,B,B,A
156,Above,Board,Ground,Heavens,A,A,B
157,Rib,Spare,Cage,Eye,B,A,A
158,Leg,Room,Work,Boot,A,A,B
159,Plate,Number,Dinner,Boiler,B,b,B
160,Bell,Blue,Door,Pepper,B,B,A
161,Dressing,Room,French,Salad,A,B,B
162,Call,Cat,Curtain,Centre,B,B,A
163,Hip,Joint,Hop,Flask,A,A,A
164,Roll,Back,Pay,Out,A,B,A
165,Stroke,Sun,Back,Master,B,B,B
166,Read,Lip,Mind,Proof,B,B,B
167,Season,Open,Off,Ticket,B,B,A
168,Rest,Head,Arm,Room,B,B,A
169,Red,Hot,Sea,Cross,A,A,A
170,Polo,Neck,Shirt,Water,A,A,B
171,Tree,Family,House,Top,B,A,A
172,Boxing,Ring,Glove,Kick,A,A,B
173,World,Cup,Wide,Series,A,A,A
174,City,Break,Centre,Scape,A,A,A
175,Lady,Bird,Pink,Finger,A,B,A
176,Bread,Flat,Short,Board,B,B,A
177,Flow,Work,Over,Air,B,B,B
178,Dairy,Farm,Free,Milk,A,A,A
179,Word,Cross,Pass,Play,B,B,A
180,Wild,Life,Fire,Run,A,A,B
181,Theme,Park,Dark,Tune,A,B,A
182,Jail,House,Bird,Break,A,A,A
183,Pipe,Dream,Drain,Bag,A,B,B
184,Burn,Out,Side,Heart,A,B,B
185,Bath,Time,Bird,Room,A,B,A
186,Chest,Hair,Nut,Treasure,A,A,B
187,Hair,Style,Cross,Spray,A,B,A
188,Photo,Graph,Copy,Booth,A,A,A
189,Road,Side,Rail,Trip,A,B,A
190,Data,Big,Base,Science,B,A,A
191,Hall,Way,Mark,Pass,A,A,A
192,Power,Over,Fire,Will,B,B,B
193,Multi,Colour,Media,Player,A,A,A
194,Page,Home,Front,Boy,B,B,A
195,Skate,Cheap,Park,Board,B,A,A
196,Smart,Watch,Out,Phone,A,B,A
197,Drill,Power,Bit,Sergeant,B,A,A
198,Code,Name,Red,Post,A,A,B
199,Side,Way,Out,Kick,B,B,A
200,Spy,Glass,Ware,Counter,A,A,B
201,Love,True,Bird,Make,B,A,B
202,Carbon,Hydro,Fibre,Dating,B,A,A
203,Hill,Up,Down,Side,B,B,A
204,Spare,Room,Tyre,Rib,A,A,A
205,Body,Anti,Guard,Part,B,A,A
206,Grass,Land,Lemon,Roots,A,B,A
207,Carrot,Top,Cake,Juice,A,A,A
208,Miss,You,America,Out,A,A,A
209,Sail,Fish,Boat,Main,A,A,B
210,Cabin,Log,Crew,Fever,B,A,A
211,Neck,Crew,Bottle,Pillow,B,B,A
212,Lunch,Box,Time,Lady,A,A,A
213,Wood,Wind,Fire,Land,A,B,A
214,Grand,Mother,Stand,Slam,A,A,A
215,Brain,Power,Wash,Storm,A,A,A
216,Sports,Man,Water,Wear,A,B,A
217,Black,Mail,Board,Jack,A,A,A
218,Berry,Blue,Straw,Goose,B,B,B
219,Glow,After,Worm,Stick,B,A,A
220,Glove,Fox,Box,Golf,B,A,B
221,Rifle,Air,Automatic,Man,B,B,A
222,Arm,Pit,Band,Fire,A,A,B
223,Up,Wind,Stand,Sell,A,B,A
224,Light,House,Spot,Moon,A,B,B
225,Income,Net,Tax,Disposable,B,A,B
226,Dough,Nut,Sour,Cookie,A,B,B
227,Key,Hole,Card,Note,a,A,A
228,Goal,Mouth,Post,Keeper,A,A,A
229,King,Pin,Crab,Lion,A,A,B
230,Flood,Light,Flash,Plain,A,B,A
231,Slow,Down,Cook,Motion,A,A,A
232,Lemon,Grass,Juice,Curd,A,A,A
233,Screw,Up,Cork,Driver,A,B,A
234,Bus,Air,Pass,Driver,B,A,A
235,Wave,Air,Length,Micro,B,A,B
236,Game,End,Keeper,Cube,B,A,A
237,Sound,Bar,System,Ultra,A,A,B
238,Beat,Heart,Dead,Up,B,B,B
239,Double,Bed,Cross,Vision,A,A,A
240,Brand,On,Fire,New,B,B,A
241,Glue,Gun,Stick,Super,A,A,B
242,Shave,After,Close,Cream,B,B,A
243,Beach,Ball,Palm,Bum,A,B,A
244,Island,Long,Desert,Love,B,B,B
245,Pound,Dog,Cake,Sterling,B,A,A
246,Silver,Smith,Back,Quick,A,A,B
247,Back,Drop,Quarter,Bone,A,B,A
248,Mile,Stone,High,Country,A,A,B
249,Eye,Glass,Lid,Hawk,B,A,B
250,Link,Hyper,Cuff,Le,B,B,A
