Id,Solution,Clue1,Clue2,Clue3
106,High,Jump,School,Chair
107,Speed,Boat,Top,Limit
108,Every,Body,Thing,Where
109,Price,Tag,Less,Asking
110,Pilot,Auto,Licence,Episode
111,List,Medal,Check,Hit
112,Pit,Stop,Bull,Snake
113,Comfort,Break,Food,Blanket
114,Air,Flow,Craft,Hot
115,Point,Pin,Ball,Decimal
116,Ice,Dry,Rack,Pack
117,Tea,Bag,Cup,Cream
118,Pop,Corn,Tart,Idol
119,Science,Teacher,Fiction,Rocket
120,Tie,Black,Clip,Bow
121,Natural,Super,History,Selection
122,Stamp,Date,Duty,Postage
123,Tax,Date,Income,Haven
124,Alley,Way,Cat,Bowling
125,Arch,Wheel,Bishop,Way
126,Spirit,Free,White,Measure
127,Tight,Sleep,Rope,Hold
128,Inner,Ear,Circle,Tube
129,Metal,Heavy,Gun,Worker
130,Step,Side,Up,Door
131,Arctic,Circle,Ocean,Monkeys
132,Blood,Orange,Type,Pressure
133,Order,Tall,In,Court
134,Mental,Note,Health,Image
135,Race,Drag,Horse,Track
136,Cover,Under,Up,Letter
137,Cheese,Big,Say,Cream
138,Area,Play,Grey,Penalty
139,Knife,Pen,Edge,Jack
140,Nature,Human,Second,Mother
141,Reason,See,Within,Able
142,Gold,Solid,Rush,Finger
143,Nuclear,Plant,Science,Power
144,North,Star,True,America
145,Angle,Right,Tri,Wide
146,Rice,Brown,Paper,Pudding
147,Learner,Slow,Visual,Driver
148,Cake,Pan,Short,Cup
149,Stereo,System,Type,Sound
150,Trust,National,Fund,Worthy
151,Age,Dark,Old,Golden
152,Speech,Free,Bubble,Acceptance
153,Scrap,Book,Metal,Yard
154,Lesson,Life,Piano,Driving
155,Lighter,High,Fire,Fuel
156,Above,Board,Ground,Heavens
157,Rib,Spare,Cage,Eye
158,Leg,Room,Work,Boot
159,Plate,Number,Let,Boiler
160,Bell,Blue,Door,Pepper
161,Dressing,Window,Hair,French
162,Call,Cat,Curtain,Centre
163,Hip,Joint,Hop,Flask
164,Roll,Back,Pay,Out
165,Stroke,Sun,Back,Master
166,Read,Lip,Mind,Proof
167,Season,Open,Off,Ticket
168,Rest,Head,Arm,Room
169,Red,Hot,Sea,Cross
170,Polo,Neck,Shirt,Water
171,Tree,Family,House,Top
172,Boxing,Ring,Glove,Kick
173,World,Cup,Wide,Series
174,City,Break,Centre,Scape
175,Lady,Bird,Pink,Finger
176,Bread,Flat,Short,Board
177,Flow,Work,Over,Air
178,Dairy,Farm,Maid,Milk
179,Word,Cross,Pass,Play
180,Wild,Life,Fire,Run
181,Theme,Park,Dark,Tune
182,Jail,House,Bird,Break
183,Pipe,Dream,Drain,Bag
184,Burn,Out,Side,Heart
185,Bath,Time,Bird,Room
186,Chest,Hair,Nut,Treasure
187,Hair,Style,Angel,Spray
188,Photo,Graph,Copy,Booth
189,Road,Side,Rail,Trip
190,Data,Big,Base,Science
191,Hall,Way,Mark,Pass
192,Power,Over,Fire,Will
193,Multi,Colour,Media,Player
194,Page,Home,Front,Boy
195,Skate,Cheap,Park,Board
196,Smart,Watch,Out,Phone
197,Drill,Power,Bit,Sergeant
198,Code,Name,Red,Post
199,Side,Way,Out,Kick
200,Spy,Glass,Ware,Counter
201,Love,Lady,Bird,Less
202,Carbon,Hydro,Fibre,Dating
203,Hill,Up,Down,Side
204,Spare,Room,Tyre,Rib
205,Body,Anti,Guard,Part
206,Grass,Land,Lemon,Roots
207,Carrot,Top,Cake,Juice
208,Miss,You,America,Ion
209,Sail,Fish,Boat,Main
210,Cabin,Log,Crew,Fever
211,Neck,Crew,Bottle,Pillow
212,Lunch,Box,Time,Lady
213,Wood,Wind,Fire,Land
214,Grand,Mother,Stand,Slam
215,Brain,Power,Wash,Storm
216,Sports,Man,Water,Wear
217,Black,Mail,Board,Bird
218,Berry,Blue,Straw,Goose
219,Glow,After,Worm,Stick
220,Glove,Fox,Box,Golf
221,Rifle,Air,Automatic,Man
222,Arm,Pit,Band,Fire
223,Up,Wind,Stand,Sell
224,Light,House,Spot,Moon
225,Income,Net,Tax,Disposable
226,Dough,Nut,Sour,Cookie
227,Key,House,Card,Note
228,Goal,Mouth,Post,Keeper
229,King,Pin,Crab,Lion
230,Flood,Light,Flash,Plain
231,Slow,Down,Cook,Motion
232,Lemon,Grass,Juice,Curd
233,Screw,Ball,Cork,Driver
234,Bus,Air,Pass,Driver
235,Wave,Air,Length,Micro
236,Game,End,Keeper,Cube
237,Sound,Bar,System,Ultra
238,Beat,Heart,Dead,Up
239,Double,Bed,Cross,Vision
240,Brand,On,Fire,New
241,Glue,Gun,Stick,Super
242,Shave,After,Close,Cream
243,Beach,Ball,Palm,Bum
244,Island,Long,Desert,Love
245,Pound,Dog,Cake,Sterling
246,Silver,Smith,Back,Quick
247,Back,Drop,Quarter,Bone
248,Mile,Stone,High,Country
249,Eye,Glass,Lid,Hawk
250,Link,Hyper,Cuff,Le
